ChargerID,stationName,stationNamePoint,lat,lng,เลขถนน,ชื่อ ถนน (x),ตำบล,อำเภอ,จังหวัด,avg_ev_num_weekly_65,min_ev_num_weekly_65,max_ev_num_weekly_65,avg_res_ev_num_weekly_65,min_res_ev_num_weekly_65,max_res_ev_num_weekly_65,avg_trav_ev_num_weekly_65,min_trav_ev_num_weekly_65,max_trav_ev_num_weekly_65,avg_ev_num_weekly_66,min_ev_num_weekly_66,max_ev_num_weekly_66,avg_res_ev_num_weekly_66,min_res_ev_num_weekly_66,max_res_ev_num_weekly_66,avg_trav_ev_num_weekly_66,min_trav_ev_num_weekly_66,max_trav_ev_num_weekly_66,num_lw7_seats_veh_yearly_65,num_lw7_seats_veh_yearly_66,distance
WAJU20030001,PEA VOLTA รังสิต,PEA VOLTA รังสิต,14.04528141,100.6161881,1,พหลโยธิน,คลองหนึ่ง,คลองหลวง,ปทุมธานี,4.0,0.0,30.0,26.0,22.0,30.0,9.0,1.0,18.0,50.0,0.0,206.0,81.0,21.0,206.0,12.0,4.0,19.0,108048.0,110457.0,10.101318491331568
T54-HU1-5120-001,PEA VOLTA บางจาก วังน้อย (พหลโยธิน กม.57) #1,PEA VOLTA บางจาก วังน้อย (พหลโยธิน กม.57),14.19541264,100.6460037,1,พหลโยธิน,ตำบล ลำไทร,อำเภอวังน้อย,พระนครศรีอยุธยา,22.0,0.0,43.0,29.0,21.0,43.0,14.0,5.0,19.0,73.0,39.0,206.0,73.0,39.0,206.0,14.0,8.0,19.0,152329.0,153013.0,25.971872312439753
T54-IT1-0221-041,PEA VOLTA บางจาก วังน้อย (พหลโยธิน กม.57) #2,PEA VOLTA บางจาก วังน้อย (พหลโยธิน กม.57),14.19541264,100.6460037,1,พหลโยธิน,ตำบล ลำไทร,อำเภอวังน้อย,พระนครศรีอยุธยา,23.0,2.0,68.0,41.0,21.0,68.0,11.0,2.0,19.0,63.0,31.0,152.0,63.0,31.0,152.0,11.0,4.0,18.0,152329.0,153013.0,25.971872312439753
V26-1222-1005,PEA VOLTA ธัญบุรี #1,PEA VOLTA ธัญบุรี,13.99793816,100.6738358,305,ถนน รังสิต-นครนายก,ตำบล บึงยี่โถ,อำเภอธัญบุรี,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,53.0,5.0,114.0,58.0,25.0,114.0,11.0,5.0,17.0,53354.0,53576.0,13.813192354181606
V26-1222-1001,PEA VOLTA สำนักงานใหญ่ #3,PEA VOLTA สำนักงานใหญ่,13.85042286,100.5585785,302,งามวงศ์วาน,จตุจักร,ลาดยาว,กรุงเทพมหานคร,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,31.0,0.0,84.0,40.0,23.0,84.0,9.0,1.0,17.0,114183.0,118872.0,14.723044448413802
T54-IT1-4022-141,PEA VOLTA บางจาก เมืองปทุมธานี #1,PEA VOLTA บางจาก เมืองปทุมธานี,13.99169827,100.5509644,306,ถ. ติวานนท์,ตำบล บางกะดี,อำเภอเมืองปทุมธานี,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,65.0,7.0,132.0,66.0,28.0,132.0,7.0,7.0,7.0,48546.0,71501.0,1.0300964704272464
T54-IT1-3722-155,PEA VOLTA บางจาก เมืองปทุมธานี #2,PEA VOLTA บางจาก เมืองปทุมธานี,13.99169827,100.5509644,306,ถ. ติวานนท์,ตำบล บางกะดี,อำเภอเมืองปทุมธานี,ปทุมธานี,5.0,0.0,24.0,24.0,23.0,24.0,5.0,1.0,15.0,65.0,10.0,138.0,66.0,21.0,138.0,10.0,10.0,10.0,48546.0,71501.0,1.0300964704272464
T54-IT3-4822-071,PEA VOLTA บางจาก สามโคก #1,PEA VOLTA บางจาก สามโคก,14.03939915,100.5256043,3111,ปทุมธานี-สามโคก-เสนา,ตำบล บางโพธิ์เหนือ,อำเภอสามโคก,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,54.0,33.0,90.0,54.0,33.0,90.0,12.0,2.0,19.0,11280.0,12303.0,6.928972185365122
T54-IT3-4622-221,PEA VOLTA บางจาก สามโคก #2,PEA VOLTA บางจาก สามโคก,14.03939915,100.5256043,3111,ปทุมธานี-สามโคก-เสนา,ตำบล บางโพธิ์เหนือ,อำเภอสามโคก,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,45.0,20.0,85.0,45.0,22.0,85.0,18.0,18.0,18.0,11280.0,12303.0,6.928972185365122
V26-0823-1059,PEA VOLTA บางปะอิน,PEA VOLTA บางปะอิน,14.21169567,100.5876999,308,ถ. อุดมสรยุทธ์,ตำบล คลองจิก,อำเภอบางปะอิน,พระนครศรีอยุธยา,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,6.0,0.0,14.0,40.0,25.0,68.0,8.0,5.0,14.0,7135.0,7197.0,25.84972485856002
V26-0823-1082,PEA VOLTA คลองหลวง,PEA VOLTA คลองหลวง,14.06675434,100.7080002,3214,3214,ตำบล คลองห้า,อำเภอคลองหลวง,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,35.0,1.0,102.0,54.0,23.0,102.0,1.0,1.0,1.0,52910.0,55439.0,19.865023812524843
V26-0823-1044,PEA VOLTA ปทุมธานี,PEA VOLTA ปทุมธานี,14.01956558,100.5272141,3035,ถนนปทุมสัมพันธ์,ต.บางปรอก,เมืองปทุมธานี,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,18.0,11.0,24.0,22.0,21.0,24.0,12.0,11.0,12.0,,,4.8908503667041066
T53-IT1-0817-002,PEA VOLTA สำนักงานใหญ่ #1,PEA VOLTA สำนักงานใหญ่,13.85042286,100.5585785,302,งามวงศ์วาน,จตุจักร,ลาดยาว,กรุงเทพมหานคร,39.0,14.0,81.0,40.0,21.0,81.0,16.0,14.0,18.0,37.0,0.0,240.0,90.0,36.0,240.0,5.0,2.0,8.0,114183.0,118872.0,14.723044448413802
T124-HU1-1122-019,PEA VOLTA สำนักงานใหญ่ #2,PEA VOLTA สำนักงานใหญ่,13.85042286,100.5585785,302,งามวงศ์วาน,จตุจักร,ลาดยาว,กรุงเทพมหานคร,27.0,14.0,38.0,34.0,30.0,38.0,14.0,14.0,14.0,194.0,35.0,398.0,194.0,35.0,398.0,16.0,16.0,16.0,114183.0,118872.0,14.723044448413802
V26-1222-1000,PEA VOLTA สำนักงานใหญ่ #4,PEA VOLTA สำนักงานใหญ่,13.85042286,100.5585785,302,งามวงศ์วาน,จตุจักร,ลาดยาว,กรุงเทพมหานคร,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,28.0,0.0,70.0,44.0,21.0,70.0,11.0,2.0,19.0,114183.0,118872.0,14.723044448413802
V26-1222-1003,PEA VOLTA ปทุมธานี 2,PEA VOLTA ปทุมธานี 2,13.99131203,100.5816803,346,ถนน รังสิต-ปทุมธานี,ตำบล บางพูน,อำเภอเมืองปทุมธานี,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,17.0,0.0,32.0,24.0,21.0,32.0,15.0,8.0,19.0,126746.0,138638.0,3.5848657446620553
TWBCE-HU1-4522-090,PEA VOLTA สำนักงานใหญ่ #5,PEA VOLTA สำนักงานใหญ่,13.85042286,100.5585785,302,งามวงศ์วาน,จตุจักร,ลาดยาว,กรุงเทพมหานคร,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,,,,29.0,26.0,32.0,16.0,16.0,16.0,114183.0,118872.0,14.723044448413802
TH0322030034,บริษัท พรีไซซ ซิสเท็ม (ร่วมเครือข่าย PEA VOLTA),บริษัท พรีไซซ ซิสเท็ม (ร่วมเครือข่าย PEA VOLTA),13.91230679,100.520401,306,ถนนเลี่ยงเมืองปากเกร็ด,ตำบลบางพูด,อำเภอปากเกร็ด,นนทบุรี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,17.0,0.0,37.0,25.0,21.0,37.0,14.0,9.0,19.0,,,8.506400903555326
T54-IT3-4322-267,PEA VOLTA บางจาก ลำลูกกา #1,PEA VOLTA บางจาก ลำลูกกา,13.93445969,100.7448731,3312,ถ.ลำลูกกา,ตำบล บึงคำพร้อย,อำเภอลำลูกกา,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,106.0,39.0,232.0,106.0,39.0,232.0,15.0,15.0,15.0,51912.0,45385.0,22.263419968231215
T54-IT3-4522-324,PEA VOLTA บางจาก ลำลูกกา #2,PEA VOLTA บางจาก ลำลูกกา,13.93445969,100.7448731,3312,ถ.ลำลูกกา,ตำบล บึงคำพร้อย,อำเภอลำลูกกา,ปทุมธานี,6.0,0.0,16.0,24.0,23.0,24.0,6.0,1.0,16.0,83.0,18.0,208.0,85.0,36.0,208.0,18.0,18.0,18.0,51912.0,45385.0,22.263419968231215
C2332A028A0,PEA VOLTA บางจาก คลองหลวง,PEA VOLTA บางจาก คลองหลวง,14.00048637,100.6131516,1,ถ. พหลโยธิน,คลองหนึ่ง,อำเภอคลองหลวง,ปทุมธานี,,,,,,,,,,17.0,0.0,92.0,92.0,92.0,92.0,6.0,4.0,7.0,108048.0,110457.0,7.23405515571004
C2332A001A0,PEA VOLTA สศช.,PEA VOLTA สศช.,13.75687885,100.5140152,,ถ. หลานหลวง,แขวงวัดโสมนัส,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,,,,,,,,,,26.0,0.0,85.0,78.0,70.0,85.0,10.0,5.0,16.0,,161489.0,25.440640644764223
